x	y	mean_x	mean_y	log2FC	gene
scdrs_N	scdrs_T	0.0016666667	0.0033333334	1.0	1_16352454_16352575
scdrs_N	scdrs_T	0.006666667	0.005	-0.4150376	1_16437424_16440672
scdrs_N	scdrs_T	0.01	0.006666667	-0.5849624	1_16460078_16460948
scdrs_N	scdrs_T	0.071666665	0.055	-0.38187063	1_16468481_16514645
scdrs_N	scdrs_T	0.008333334	0.006666667	-0.32192817	1_16515754_16520694
scdrs_N	scdrs_T	0.01	0.013333334	0.41503757	1_16521796_16533886
scdrs_N	scdrs_T	0.016666668	0.015	-0.15200324	1_16536172_16562319
scdrs_N	scdrs_T	0.03	0.015	-1.0	1_16613562_16617391
scdrs_N	scdrs_T	1.4166666	1.4733334	0.05658364	1_16617729_16656879
scdrs_N	scdrs_T	0.26666668	0.195	-0.4515635	1_16667524_16701546
scdrs_N	scdrs_T	0.015	0.016666668	0.15200317	1_16705594_16739938
scdrs_N	scdrs_T	0.0	0.0033333334	inf	1_16972979_16974502
scdrs_N	scdrs_T	0.043333333	0.045	0.054447822	1_17011928_17018722
scdrs_N	scdrs_T	0.0	0.0	0.0	1_17054170_17066761
scdrs_N	scdrs_T	0.008333334	0.0	-inf	1_17119435_17189783
scdrs_N	scdrs_T	0.0	0.0	0.0	1_17201733_17205126
scdrs_N	scdrs_T	0.0	0.0	0.0	1_17246005_17249098
scdrs_N	scdrs_T	0.0016666667	0.005	1.5849624	1_17284233_17308195
scdrs_N	scdrs_T	0.0	0.0	0.0	1_17364004_17372196
scdrs_N	scdrs_T	0.005	0.0	-inf	1_17401699_17406760
scdrs_N	scdrs_T	0.04	0.046666667	0.22239253	1_17439724_17539835
scdrs_N	scdrs_T	0.008333334	0.006666667	-0.32192817	1_17697874_17717687
scdrs_N	scdrs_T	0.0	0.0	0.0	1_17749978_17755313
scdrs_N	scdrs_T	0.01	0.005	-1.0	1_17827063_18015712
scdrs_N	scdrs_T	0.0	0.0	0.0	1_18045612_18065657
scdrs_N	scdrs_T	0.0	0.0	0.0	1_18074412_18107746
scdrs_N	scdrs_T	0.0	0.0	0.0	1_18378483_18385829
