group	feature	mean	var	cv	zero_prop
scdrs_N	1_15409895_15430343	0.145	0.147309	2.6469557	0.8666666666666667
scdrs_N	1_15438439_15449242	0.01	0.009899993	9.949871	0.99
scdrs_N	1_15456728_15526534	0.068333335	0.07033038	3.8809574	0.935
scdrs_N	1_15526813_15603626	0.80333334	1.0479883	1.2743316	0.485
scdrs_N	1_15617500_15669044	0.30166668	0.2906646	1.7871817	0.735
scdrs_N	1_15682873_15683128	0.006666667	0.0066221887	12.206524	0.9933333333333333
scdrs_N	1_15684332_15749896	0.385	0.44677398	1.7361339	0.7
scdrs_N	1_15756607_15786594	0.046666667	0.04782242	4.6860723	0.955
scdrs_N	1_15807169_15809348	0.048333332	0.045997504	4.4373164	0.9516666666666667
scdrs_N	1_15834474_15940460	0.15333334	0.17982276	2.7655768	0.87
scdrs_N	1_15941869_15976132	0.05666667	0.05678936	4.205385	0.945
scdrs_N	1_16004236_16008807	0.0016666667	0.0016638903	24.474483	0.9983333333333333
scdrs_N	1_16014028_16034050	0.015	0.018108385	8.97116	0.9866666666666667
scdrs_N	1_16043736_16057308	0.0033333334	0.0033222118	17.291588	0.9966666666666667
scdrs_N	1_16057769_16073632	0.0016666667	0.0016639004	24.474558	0.9983333333333333
scdrs_N	1_16124337_16157329	0.07666667	0.08078927	3.7074068	0.9283333333333333
scdrs_N	1_16159266_16161883	0.006666667	0.006622212	12.206546	0.9933333333333333
scdrs_N	1_16197854_16212609	0.016666668	0.01972221	8.4261465	0.985
scdrs_N	1_16231700_16237162	0.013333334	0.013155621	8.602346	0.9866666666666667
scdrs_N	1_16246839_16352454	0.13833334	0.14586285	2.760867	0.8733333333333333
scdrs_N	1_16352575_16437424	0.21833333	0.21732986	2.1352053	0.805
scdrs_N	1_16440672_16460078	0.11833333	0.13766341	3.1354666	0.8983333333333333
scdrs_N	1_16460948_16468481	0.011666667	0.014863894	10.450077	0.99
scdrs_N	1_16514645_16515754	0.013333334	0.013155616	8.6023445	0.9866666666666667
scdrs_N	1_16520694_16521796	0.04	0.04173351	5.1071954	0.9616666666666667
scdrs_N	1_16533886_16536172	0.0016666667	0.0016639029	24.474579	0.9983333333333333
scdrs_N	1_16562319_16613562	0.18833333	0.19286378	2.3318367	0.8316666666666667
scdrs_N	1_16617391_16617729	0.013333334	0.013155583	8.602334	0.9866666666666667
scdrs_N	1_16656879_16667524	0.048333332	0.05266411	4.747999	0.955
scdrs_N	1_16701546_16705594	0.005	0.0049750255	14.106773	0.995
scdrs_N	1_16739938_16972979	1.22	1.7182672	1.0744482	0.355
scdrs_N	1_16974502_17011928	0.061666667	0.057864223	3.900808	0.9383333333333334
scdrs_N	1_17018722_17054170	0.79	0.9325704	1.222401	0.48
scdrs_N	1_17066761_17119435	0.013333334	0.0164889	9.630684	0.9883333333333333
scdrs_N	1_17189783_17201733	0.0	0.0	0.0	1.0
scdrs_N	1_17205126_17246005	0.0033333334	0.0033222046	17.291569	0.9966666666666667
scdrs_N	1_17249098_17284233	0.0	0.0	0.0	1.0
scdrs_N	1_17308195_17364004	0.02	0.019599954	6.999992	0.98
scdrs_N	1_17372196_17401699	0.006666667	0.006622193	12.206529	0.9933333333333333
scdrs_N	1_17406760_17439724	0.07333333	0.07795628	3.8073616	0.9316666666666666
scdrs_N	1_17539835_17697874	0.70166665	0.7493299	1.233689	0.5133333333333333
scdrs_N	1_17717687_17749978	0.0	0.0	0.0	1.0
scdrs_N	1_17755313_17827063	0.0	0.0	0.0	1.0
scdrs_N	1_18015712_18045612	0.0	0.0	0.0	1.0
scdrs_N	1_18065657_18074412	0.0	0.0	0.0	1.0
scdrs_N	1_18107746_18378483	0.008333334	0.008263928	10.908737	0.9916666666666667
scdrs_N	1_18385829_18388514	0.0	0.0	0.0	1.0
scdrs_N	1_18480982_18486126	0.023333333	0.02278896	6.46972	0.9766666666666667
scdrs_N	1_18631006_18748866	0.0	0.0	0.0	1.0
scdrs_N	1_18839599_18956686	1.3766667	1.7847923	0.97043186	0.3016666666666667
scdrs_N	1_19074506_19210276	0.365	0.39177522	1.7148479	0.705
scdrs_N	1_19210501_19260128	0.23833333	0.22819753	2.0043368	0.785
scdrs_N	1_19282558_19289250	0.9316667	1.1703316	1.161165	0.445
scdrs_N	1_19303965_19312146	0.30666667	0.31595534	1.8329316	0.7433333333333333
scdrs_N	1_19312326_19329300	0.065	0.06744198	3.9953225	0.9383333333333334
scdrs_N	1_19338776_19485539	0.6066667	0.6252885	1.3034371	0.5516666666666666
scdrs_N	1_19591802_19596832	0.006666667	0.006622167	12.206504	0.9933333333333333
scdrs_N	1_19596977_19658456	0.69166666	0.74326044	1.2464465	0.515
scdrs_N	1_19665287_19679562	0.0016666667	0.0016639052	24.474594	0.9983333333333333
scdrs_N	1_19682213_19799945	0.083333336	0.09305506	3.6605911	0.925
scdrs_N	1_19814029_19819502	0.0	0.0	0.0	1.0
scdrs_N	1_19882513_19912945	0.015	0.014775029	8.103505	0.985
scdrs_N	1_19920009_19923617	0.0	0.0	0.0	1.0
scdrs_N	1_19975431_19980416	0.40833333	0.4015952	1.551956	0.6666666666666666
scdrs_N	1_20028179_20091190	0.053333335	0.0571555	4.482603	0.95
scdrs_N	1_20111939_20119566	0.0016666667	0.0016639039	24.474585	0.9983333333333333
scdrs_N	1_20139326_20150386	0.0	0.0	0.0	1.0
scdrs_N	1_20154338_20160568	0.016666668	0.016388837	7.6811337	0.9833333333333333
scdrs_N	1_20161253_20177424	0.0	0.0	0.0	1.0
scdrs_N	1_20184242_20196048	0.07	0.07510036	3.9149208	0.935
scdrs_N	1_20243095_20244655	0.0	0.0	0.0	1.0
scdrs_N	1_20272018_20275005	0.0	0.0	0.0	1.0
scdrs_N	1_20290919_20354894	0.0	0.0	0.0	1.0
scdrs_N	1_20360579_20431234	0.0033333334	0.0033221983	17.291553	0.9966666666666667
scdrs_N	1_20476222_20480397	0.008333334	0.0082639	10.908719	0.9916666666666667
