feature	SpaceRanger	stCNASim-afc	STARsolo
AC092295.2	0.0	0.0	0.0
ZNF260	0.05999999865889549	0.06	0.065
AC092295.1	0.0	0.0	0.0
ZNF529	0.06666667014360428	0.06666666666666667	0.06833333333333333
ZNF529-AS1	0.009999999776482582	0.01	0.011666666666666667
ZNF382	0.0033333334140479565	0.0033333333333333335	0.006666666666666667
ZNF461	0.0	0.0	0.0
AC074138.1	0.0	0.0	0.0
LINC01534	0.009999999776482582	0.01	0.01
ZNF567	0.0533333346247673	0.05333333333333334	0.056666666666666664
ZNF850	0.018333332613110542	0.018333333333333333	0.018333333333333333
AC020928.2	0.0	0.0	0.0
AC020928.3	0.0	0.0	0.0
AC020928.1	0.0	0.0	0.0
ZNF790	0.05000000074505806	0.05	0.05
ZNF345	0.011666666716337204	0.011666666666666667	0.016666666666666666
ZNF829	0.009999999776482582	0.01	0.01
ZNF568	0.028333334252238274	0.028333333333333332	0.03
ZNF420	0.038333334028720856	0.03833333333333333	0.03833333333333333
AC010632.1	0.0	0.0	0.0
AC012309.1	0.0	0.0	0.0
ZNF585A	0.011666666716337204	0.011666666666666667	0.013333333333333334
AC012309.2	0.0	0.0	0.0
ZNF585B	0.023333333432674408	0.023333333333333334	0.025
ZNF383	0.02500000037252903	0.025	0.02666666666666667
LINC01535	0.0	0.0	0.0
AC016590.1	0.0	0.0	0.0
HKR1	0.07666666805744171	0.07666666666666666	0.08833333333333333
AC016590.3	0.004999999888241291	0.005	0.005
ZNF527	0.023333333432674408	0.023333333333333334	0.025
ZNF569	0.023333333432674408	0.023333333333333334	0.025
ZNF570	0.03333333507180214	0.03333333333333333	0.03333333333333333
ZNF793-AS1	0.0	0.0	0.0016666666666666668
AC022148.2	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
ZNF793	0.0033333334140479565	0.0033333333333333335	0.005
AC022148.1	0.0	0.0	0.0
ZNF571-AS1	0.0	0.0	0.0
ZNF540	0.023333333432674408	0.023333333333333334	0.02666666666666667
ZNF571	0.01666666753590107	0.016666666666666666	0.018333333333333333
ZFP30	0.014999999664723873	0.015	0.016666666666666666
