feature	cs_N	rs_N	cs_T	rs_T
SCD	16.941666666666666	16.941666666666666	16.6	16.6
OLMALINC	0.16666666666666666	0.16666666666666666	0.15333333333333332	0.15333333333333332
WNT8B	0.0	0.0	0.0	0.0
SEC31B	0.15166666666666667	0.15166666666666667	0.13166666666666665	0.13166666666666665
AL133352.1	0.0	0.0	0.0	0.0
NDUFB8	0.845	0.845	0.8866666666666667	0.8866666666666667
HIF1AN	0.10666666666666667	0.10666666666666667	0.10166666666666667	0.10166666666666667
PAX2	0.0	0.0	0.0	0.0
AL138762.1	0.0	0.0	0.0	0.0
SLF2	0.12333333333333334	0.12333333333333334	0.11	0.11
AL133215.3	0.0	0.0	0.0	0.0
MRPL43	0.35333333333333333	0.35333333333333333	0.38333333333333336	0.38333333333333336
SEMA4G	0.3	0.3	0.28	0.28
AL133215.1	0.0	0.0	0.0	0.0
TWNK	0.006666666666666667	0.006666666666666667	0.015	0.015
LZTS2	0.115	0.115	0.09833333333333333	0.09833333333333333
PDZD7	0.0	0.0	0.0	0.0
SFXN3	0.043333333333333335	0.043333333333333335	0.065	0.065
AL133215.2	0.0	0.0	0.0	0.0
KAZALD1	0.006666666666666667	0.006666666666666667	0.006666666666666667	0.006666666666666667
TLX1NB	0.0	0.0	0.0	0.0
TLX1	0.0	0.0	0.0	0.0
LINC01514	0.0	0.0	0.0	0.0
LBX1	0.0	0.0	0.0	0.0
AL133387.2	0.0	0.0	0.0	0.0
AL133387.1	0.0	0.0	0.0	0.0
AL133387.3	0.0	0.0	0.0	0.0
BTRC	0.1	0.1	0.06166666666666667	0.06166666666666667
DPCD	0.04	0.04	0.04833333333333333	0.04833333333333333
POLL	0.145	0.145	0.135	0.135
FBXW4	0.265	0.265	0.25666666666666665	0.25666666666666665
AC010789.1	0.0	0.0	0.0	0.0
FGF8	0.0	0.0	0.0	0.0
NPM3	0.07	0.07	0.07166666666666667	0.07166666666666667
OGA	0.5016666666666667	0.5016666666666667	0.5216666666666666	0.5216666666666666
KCNIP2-AS1	0.0	0.0	0.0	0.0
KCNIP2	0.011666666666666667	0.011666666666666667	0.011666666666666667	0.011666666666666667
ARMH3	0.12	0.12	0.125	0.125
HPS6	0.03666666666666667	0.03666666666666667	0.04	0.04
LDB1	0.023333333333333334	0.023333333333333334	0.016666666666666666	0.016666666666666666
PPRC1	0.09333333333333334	0.09333333333333334	0.06333333333333334	0.06333333333333334
NOLC1	0.275	0.275	0.235	0.235
ELOVL3	0.0	0.0	0.0	0.0
PITX3	0.0	0.0	0.0	0.0
GBF1	0.15833333333333333	0.15833333333333333	0.17	0.17
